title,available_copies,total_rentals,repeat_rentals,repeat_percentage
"MAGIC MALLRATS",2,7,0,0.00
"MAGNIFICENT CHITTY",2,8,0,0.00
"MAGNOLIA FORRESTER",4,11,0,0.00
"MAGUIRE APACHE",3,9,0,0.00
"MAIDEN HOME",6,24,0,0.00
"MAJESTIC FLOATS",4,17,0,0.00
"MAKER GABLES",3,10,0,0.00
"MALTESE HOPE",7,22,0,0.00
"MANCHURIAN CURTAIN",5,15,0,0.00
"MANNEQUIN WORST",2,5,0,0.00
"MARRIED GO",8,30,0,0.00
"MARS ROMAN",5,19,0,0.00
"MASSAGE IMAGE",3,12,0,0.00
"MATRIX SNOWMAN",2,9,0,0.00
"MAUDE MOD",2,8,0,0.00
"MEET CHOCOLATE",4,12,0,0.00
"MENAGERIE RUSHMORE",2,7,0,0.00
"MERMAID INSECTS",5,16,0,0.00
"METROPOLIS COMA",8,26,0,0.00
"MICROCOSMOS PARADISE",4,13,0,0.00
"MILE MULAN",3,13,0,0.00
"MILLION ACE",5,20,0,0.00
"MINE TITANS",6,19,0,0.00
"MIRACLE VIRTUAL",2,9,0,0.00
"MISSION ZOOLANDER",5,18,0,0.00
"MIXED DOORS",2,4,0,0.00
"MOB DUFFEL",4,12,0,0.00
"MOCKINGBIRD HOLLYWOOD",8,24,0,0.00
"MOD SECRETARY",3,11,0,0.00
"MODERN DORADO",4,15,0,0.00
"MONEY HAROLD",7,20,0,0.00
"MONSOON CAUSE",3,9,0,0.00
"MONSTER SPARTACUS",4,15,0,0.00
"MONTEREY LABYRINTH",4,13,0,0.00
"MONTEZUMA COMMAND",3,9,0,0.00
"MOONWALKER FOOL",4,13,0,0.00
"MOSQUITO ARMAGEDDON",4,15,0,0.00
"MOTHER OLEANDER",5,14,0,0.00
"MOTIONS DETAILS",4,16,0,0.00
"MOULIN WAKE",5,16,0,0.00
"MULAN MOON",3,13,0,0.00
"MULHOLLAND BEAST",2,7,0,0.00
"MUMMY CREATURES",6,16,0,0.00
"MURDER ANTITRUST",6,23,0,0.00
"MUSCLE BRIGHT",8,30,0,0.00
"MUSIC BOONDOCK",5,19,0,0.00
"MUSSOLINI SPOILERS",2,5,0,0.00
"MYSTIC TRUMAN",2,10,0,0.00
"NAME DETECTIVE",6,23,0,0.00
"NASH CHOCOLAT",4,15,0,0.00
"NATIONAL STORY",6,19,0,0.00
"NATURAL STOCK",3,13,0,0.00
"NECKLACE OUTBREAK",4,15,0,0.00
"NEMO CAMPUS",5,14,0,0.00
"NETWORK PEAK",8,31,0,0.00
"NEWSIES STORY",2,7,0,0.00
"NEWTON LABYRINTH",5,17,0,0.00
"NIGHTMARE CHILL",7,25,0,0.00
"NOON PAPI",4,17,0,0.00
"NORTH TEQUILA",3,11,0,0.00
"NORTHWEST POLISH",5,20,0,0.00
"NOTTING SPEAKEASY",3,10,0,0.00
"NOVOCAINE FLIGHT",5,19,0,0.00
"NUTS TIES",3,9,0,0.00
"OCTOBER SUBMARINE",3,11,0,0.00
"ODDS BOOGIE",4,15,0,0.00
"OKLAHOMA JUMANJI",2,6,0,0.00
"OLEANDER CLUE",3,10,0,0.00
"OPEN AFRICAN",5,21,0,0.00
"OPPOSITE NECKLACE",3,13,0,0.00
"OPUS ICE",3,11,0,0.00
"ORANGE GRAPES",7,24,0,0.00
"OUTFIELD MASSACRE",6,20,0,0.00
"PACIFIC AMISTAD",6,24,0,0.00
"PACKER MADIGAN",6,22,0,0.00
"PAJAMA JAWBREAKER",4,14,0,0.00
"PANIC CLUB",2,7,0,0.00
"PANKY SUBMARINE",4,15,0,0.00
"PANTHER REDS",6,15,0,0.00
"PAPI NECKLACE",2,8,0,0.00
"PARADISE SABRINA",6,18,0,0.00
"PARIS WEEKEND",4,14,0,0.00
"PARK CITIZEN",2,8,0,0.00
"PARTY KNOCK",4,13,0,0.00
"PAST SUICIDES",4,13,0,0.00
"PATHS CONTROL",4,10,0,0.00
"PATRIOT ROMAN",5,16,0,0.00
"PAYCHECK WAIT",5,16,0,0.00
"PEACH INNOCENT",4,14,0,0.00
"PEAK FOREVER",5,20,0,0.00
"PELICAN COMFORTS",7,26,0,0.00
"PERFECT GROOVE",6,17,0,0.00
"PERSONAL LADYBUGS",4,14,0,0.00
"PET HAUNTING",3,8,0,0.00
"PHANTOM GLORY",2,6,0,0.00
"PIANIST OUTFIELD",7,21,0,0.00
"PICKUP DRIVING",4,16,0,0.00
"PILOT HOOSIERS",4,16,0,0.00
"PINOCCHIO SIMON",6,20,0,0.00
"PIRATES ROXANNE",6,21,0,0.00
"PITTSBURGH HUNCHBACK",3,12,0,0.00
"PITY BOUND",8,26,0,0.00
"PIZZA JUMANJI",2,7,0,0.00
"PLATOON INSTINCT",2,9,0,0.00
"PLUTO OLEANDER",4,16,0,0.00
"POCUS PULP",7,26,0,0.00
"POLISH BROOKLYN",4,18,0,0.00
"POSEIDON FOREVER",5,17,0,0.00
"POTLUCK MIXED",3,11,0,0.00
"POTTER CONNECTICUT",5,17,0,0.00
"PREJUDICE OLEANDER",6,20,0,0.00
"PRESIDENT BANG",2,7,0,0.00
"PRIDE ALAMO",5,16,0,0.00
"PRIVATE DROP",2,5,0,0.00
"PRIX UNDEFEATED",3,11,0,0.00
"PULP BEVERLY",8,30,0,0.00
"PUNK DIVORCE",2,8,0,0.00
"PURE RUNNER",5,16,0,0.00
"PURPLE MOVIE",4,13,0,0.00
"QUEEN LUKE",6,22,0,0.00
"QUEST MUSSOLINI",6,20,0,0.00
"QUILLS BULL",4,16,0,0.00
"RACER EGG",6,18,0,0.00
"RAGE GAMES",6,19,0,0.00
"RAGING AIRPLANE",4,13,0,0.00
"RANDOM GO",3,9,0,0.00
"RANGE MOONWALKER",7,27,0,0.00
"REAP UNFAITHFUL",5,16,0,0.00
"REAR TRADING",4,17,0,0.00
"REBEL AIRPORT",2,8,0,0.00
"RECORDS ZORRO",2,8,0,0.00
"REDEMPTION COMFORTS",7,20,0,0.00
"REDS POCUS",2,9,0,0.00
"REEF SALUTE",4,11,0,0.00
"REMEMBER DIARY",6,18,0,0.00
"REQUIEM TYCOON",6,19,0,0.00
"RESERVOIR ADAPTATION",3,10,0,0.00
"RESURRECTION SILVERADO",5,21,0,0.00
"REUNION WITCHES",5,20,0,0.00
"RIDER CADDYSHACK",4,11,0,0.00
"RIDGEMONT SUBMARINE",8,32,0,0.00
"RIGHT CRANES",3,10,0,0.00
"RINGS HEARTBREAKERS",4,15,0,0.00
"RIVER OUTLAW",7,20,0,0.00
"ROAD ROXANNE",6,19,0,0.00
"ROBBERS JOON",7,31,0,0.00
"ROBBERY BRIGHT",4,13,0,0.00
"ROCKY WAR",5,16,0,0.00
"ROLLERCOASTER BRINGING",3,10,0,0.00
"ROOM ROMAN",6,20,0,0.00
"ROOTS REMEMBER",5,17,0,0.00
"RUGRATS SHAKESPEARE",8,30,0,0.00
"RULES HUMAN",4,16,0,0.00
"RUN PACIFIC",3,10,0,0.00
"RUNAWAY TENENBAUMS",2,8,0,0.00
"RUNNER MADIGAN",3,8,0,0.00
"RUSHMORE MERMAID",2,6,0,0.00
"SABRINA MIDNIGHT",7,21,0,0.00
"SAGEBRUSH CLUELESS",5,16,0,0.00
"SAINTS BRIDE",3,8,0,0.00
"SALUTE APOLLO",6,23,0,0.00
"SAMURAI LION",7,25,0,0.00
"SANTA PARIS",3,11,0,0.00
"SASSY PACKER",4,13,0,0.00
"SATISFACTION CONFIDENTIAL",5,17,0,0.00
"SATURDAY LAMBS",8,28,0,0.00
"SATURN NAME",4,13,0,0.00
"SAVANNAH TOWN",3,12,0,0.00
"SCALAWAG DUCK",8,32,0,0.00
"SCARFACE BANG",6,18,0,0.00
"SCHOOL JACKET",2,6,0,0.00
"SCISSORHANDS SLUMS",3,15,0,0.00
"SCORPION APOLLO",7,23,0,0.00
"SEA VIRGIN",6,22,0,0.00
"SEARCHERS WAIT",4,14,0,0.00
"SEATTLE EXPECATIONS",5,24,0,0.00
"SECRET GROUNDHOG",5,21,0,0.00
"SECRETARY ROUGE",6,18,0,0.00
"SECRETS PARADISE",6,20,0,0.00
"SENSE GREEK",2,7,0,0.00
"SENSIBILITY REAR",3,10,0,0.00
"SEVEN SWARM",2,5,0,0.00
"SHAKESPEARE SADDLE",6,22,0,0.00
"SHANE DARKNESS",4,14,0,0.00
"SHANGHAI TYCOON",6,14,0,0.00
"SHEPHERD MIDSUMMER",7,25,0,0.00
"SHINING ROSES",3,8,0,0.00
"SHIP WONDERLAND",4,15,0,0.00
"SHOCK CABIN",8,30,0,0.00
"SHOOTIST SUPERFLY",7,24,0,0.00
"SHOW LORD",6,25,0,0.00
"SHREK LICENSE",3,15,0,0.00
"SHRUNK DIVINE",4,14,0,0.00
"SIDE ARK",4,12,0,0.00
"SIEGE MADRE",4,15,0,0.00
"SIERRA DIVIDE",5,15,0,0.00
"SILENCE KANE",5,16,0,0.00
"SILVERADO GOLDFINGER",4,12,0,0.00
"SIMON NORTH",2,6,0,0.00
"SLEEPING SUSPECTS",7,24,0,0.00
"SLEEPY JAPANESE",5,21,0,0.00
"SLING LUKE",2,6,0,0.00
"SLIPPER FIDELITY",4,16,0,0.00
"SLUMS DUCK",7,24,0,0.00
"SMILE EARRING",3,10,0,0.00
"SMOKING BARBARELLA",6,18,0,0.00
"SMOOCHY CONTROL",4,12,0,0.00
"SNATCHERS MONTEZUMA",3,9,0,0.00
"SNOWMAN ROLLERCOASTER",7,23,0,0.00
"SOLDIERS EVOLUTION",2,8,0,0.00
"SOMETHING DUCK",5,19,0,0.00
"SONG HEDWIG",3,11,0,0.00
"SORORITY QUEEN",4,12,0,0.00
"SOUP WISDOM",2,8,0,0.00
"SOUTH WAIT",7,22,0,0.00
"SPARTACUS CHEAPER",4,9,0,0.00
"SPEAKEASY DATE",3,12,0,0.00
"SPEED SUIT",2,9,0,0.00
"SPICE SORORITY",6,20,0,0.00
"SPIKING ELEMENT",4,13,0,0.00
"SPINAL ROCKY",5,13,0,0.00
"SPIRIT FLINTSTONES",4,15,0,0.00
"SPIRITED CASUALTIES",3,11,0,0.00
"SPLASH GUMP",4,14,0,0.00
"SPLENDOR PATTON",7,21,0,0.00
"SPOILERS HELLFIGHTERS",3,10,0,0.00
"SPY MILE",8,27,0,0.00
"SQUAD FISH",3,7,0,0.00
"STAGE WORLD",3,10,0,0.00
"STALLION SUNDANCE",2,7,0,0.00
"STAMPEDE DISTURBING",4,14,0,0.00
"STAR OPERATION",7,21,0,0.00
"STATE WASTELAND",4,13,0,0.00
"STEERS ARMAGEDDON",4,15,0,0.00
"STEPMOM DREAM",7,20,0,0.00
"STING PERSONAL",8,21,0,0.00
"STOCK GLASS",4,14,0,0.00
"STONE FIRE",3,11,0,0.00
"STORM HAPPINESS",8,29,0,0.00
"STORY SIDE",7,28,0,0.00
"STRAIGHT HOURS",6,20,0,0.00
"STRANGELOVE DESIRE",7,24,0,0.00
"STRANGER STRANGERS",3,11,0,0.00
"STREAK RIDGEMONT",4,16,0,0.00
"STRICTLY SCARFACE",7,23,0,0.00
"SUBMARINE BED",4,15,0,0.00
"SUGAR WONKA",6,17,0,0.00
"SUMMER SCARFACE",5,16,0,0.00
"SUNDANCE INVASION",6,19,0,0.00
"SUNSET RACER",2,8,0,0.00
"SUPER WYOMING",4,13,0,0.00
"SUPERFLY TRIP",3,10,0,0.00
"SWARM GOLD",8,27,0,0.00
"SWEDEN SHINING",5,18,0,0.00
"SWEET BROTHERHOOD",3,15,0,0.00
"TARZAN VIDEOTAPE",2,8,0,0.00
"TAXI KICK",5,17,0,0.00
"TEEN APOLLO",4,17,0,0.00
"TELEGRAPH VOYAGE",7,27,0,0.00
"TEMPLE ATTRACTION",4,12,0,0.00
"TENENBAUMS COMMAND",4,13,0,0.00
"TEQUILA PAST",2,6,0,0.00
"TERMINATOR CLUB",3,6,0,0.00
"TEXAS WATCH",2,6,0,0.00
"THEORY MERMAID",4,11,0,0.00
"THIEF PELICAN",6,19,0,0.00
"THIN SAGEBRUSH",4,11,0,0.00
"TIES HUNGER",3,11,0,0.00
"TIMBERLAND SKY",7,31,0,0.00
"TOMATOES HELLFIGHTERS",5,14,0,0.00
"TOMORROW HUSTLER",7,25,0,0.00
"TOOTSIE PILOT",4,15,0,0.00
"TORQUE BOUND",8,27,0,0.00
"TOURIST PELICAN",5,22,0,0.00
"TOWERS HURRICANE",3,11,0,0.00
"TOWN ARK",4,14,0,0.00
"TRACY CIDER",7,26,0,0.00
"TRADING PINOCCHIO",7,25,0,0.00
"TRAFFIC HOBBIT",2,5,0,0.00
"TRAIN BUNCH",2,4,0,0.00
"TRAINSPOTTING STRANGERS",3,11,0,0.00
"TRANSLATION SUMMER",4,15,0,0.00
"TRAP GUYS",4,16,0,0.00
"TREATMENT JEKYLL",2,7,0,0.00
"TROJAN TOMORROW",6,19,0,0.00
"TROOPERS METAL",6,14,0,0.00
"TROUBLE DATE",6,23,0,0.00
"TURN STAR",4,14,0,0.00
"TUXEDO MILE",5,13,0,0.00
"TWISTED PIRATES",4,11,0,0.00
"TYCOON GATHERING",4,12,0,0.00
"UNBREAKABLE KARATE",5,21,0,0.00
"UNCUT SUICIDES",4,14,0,0.00
"UNDEFEATED DALMATIONS",7,21,0,0.00
"UNFAITHFUL KILL",3,8,0,0.00
"UNFORGIVEN ZOOLANDER",5,18,0,0.00
"UNITED PILOT",5,17,0,0.00
"UPRISING UPTOWN",4,16,0,0.00
"UPTOWN YOUNG",3,12,0,0.00
"VACATION BOONDOCK",6,21,0,0.00
"VALENTINE VANISHING",3,12,0,0.00
"VALLEY PACKER",4,15,0,0.00
"VAMPIRE WHALE",3,12,0,0.00
"VANILLA DAY",3,9,0,0.00
"VANISHED GARDEN",2,7,0,0.00
"VANISHING ROCKY",6,18,0,0.00
"VARSITY TRIP",5,16,0,0.00
"VELVET TERMINATOR",6,26,0,0.00
"VERTIGO NORTHWEST",4,8,0,0.00
"VICTORY ACADEMY",3,9,0,0.00
"VIRTUAL SPOILERS",4,14,0,0.00
"VISION TORQUE",2,7,0,0.00
"VOICE PEACH",6,19,0,0.00
"VOLCANO TEXAS",6,22,0,0.00
"WANDA CHAMBER",4,16,0,0.00
"WAR NOTTING",5,12,0,0.00
"WARDROBE PHANTOM",6,27,0,0.00
"WARLOCK WEREWOLF",2,6,0,0.00
"WARS PLUTO",3,10,0,0.00
"WASTELAND DIVINE",4,15,0,0.00
"WATCH TRACY",5,16,0,0.00
"WATERFRONT DELIVERANCE",5,17,0,0.00
"WATERSHIP FRONTIER",2,6,0,0.00
"WEEKEND PERSONAL",5,18,0,0.00
"WEREWOLF LOLA",3,14,0,0.00
"WEST LION",4,16,0,0.00
"WHALE BIKINI",4,18,0,0.00
"WILD APOLLO",2,6,0,0.00
"WILLOW TRACY",5,16,0,0.00
"WIND PHANTOM",6,23,0,0.00
"WINDOW SIDE",3,12,0,0.00
"WISDOM WORKER",3,9,0,0.00
"WIZARD COLDBLOODED",5,16,0,0.00
"WOLVES DESIRE",6,21,0,0.00
"WOMEN DORADO",7,23,0,0.00
"WON DARES",3,9,0,0.00
"WONDERFUL DROP",2,9,0,0.00
"WONKA SEA",6,18,0,0.00
"WORKER TARZAN",5,15,0,0.00
"WORKING MICROCOSMOS",6,25,0,0.00
"WORLD LEATHERNECKS",2,8,0,0.00
"WORST BANGER",5,16,0,0.00
"WRATH MILE",4,14,0,0.00
"WRONG BEHAVIOR",7,20,0,0.00
"WYOMING STORM",3,13,0,0.00
"YOUNG LANGUAGE",2,7,0,0.00
"YOUTH KICK",2,6,0,0.00
"ZHIVAGO CORE",2,9,0,0.00
"ZOOLANDER FICTION",5,17,0,0.00
